acceptera accepterar accepterade accepterat
trötta tröttar tröttade tröttat
tröttna tröttnar tröttnade tröttnat
tvinga tvingar tvingade tvingat
tvätta tvättar tvättade tvättat
tycka tycker tyckte tyckt
tåla tål tålde tålt
täcka täcker täckte täckt
tälta tältar tältade tältat
tänka tänker tänkte tänkt
umgå umgår umgick umgått
underskatta underskattar underskattade underskattat
undra undrar undrade undrat
unna unnar unnade unnat
uppdaga uppdagar uppdagade uppdagat
uppfostra uppfostrar uppfostrade uppfostrat
uppge uppger uppgav uppgett
uppmana uppmanar uppmanade uppmanat
uppmuntra uppmuntrar uppmuntrade uppmuntrat
upprepa upprepar upprepade upprepat
uppskatta uppskattar uppskattade uppskattat
upptäcka upptäcker upptäckte upptäckt
utgå utgår utgick utgått
utnyttja utnyttjar utnyttjade utnyttjat
utsätta utsätter utsatte utsatt
utveckla utvecklar utvecklade utvecklat
vakna vaknar vaknade vaknat
vara är var varit
vattna vattnar vattnade vattnat
verka verkar verkade verkat
veta vet visste vetat
vika viker vek vikit
vila vilar vilade vilat
vilja vill ville velat
vimla vimlar vimlade vimlat
vingla vinglar vinglade vinglat
vinka vinkar vinkade vinkat
visa visar visade visat
vispa vispar vispade vispat
vissla visslar visslade visslat
vissna vissnar vissnade vissnat
vricka vrickar vrickade vrickat
vrida vrider vred vridit
vråla vrålar vrålade vrålat
vårda vårdar vårdade vårdat
väga väger vägde vägt
välja väljer valde valt
välla väller vällde vällt
vända vänder vände vänt
vänja vänjer vande vant
vänta väntar väntade väntat
*väsna väsnar väsnade väsnat
väsnas väsnas väsnades väsnats
väva väver vävde vävt
växa växer växte vuxit
växla växlar växlade växlat
åberopa åberopar åberopade åberopat
åka åker åkte åkt
ångra ångrar ångrade ångrat
återge återger återgav återgett
återse återser återsåg återsett
återvinna återvinner återvann återvunnit
återvända återvänder återvände återvänt
äga äger ägde ägt
ägna ägnar ägnade ägnat
älska älskar älskade älskat
älta ältar ältade ältat
ändra ändrar ändrade ändrat
äta äter åt ätit
öka ökar ökade ökat
ömsa ömsar ömsade ömsat
önska önskar önskade önskat
öppna öppnar öppnade öppnat
ösa öser öste öst
öva övar övade övat
överge överger övergav övergett
överraska överraskar överraskade överraskat
överskatta överskattar överskattade överskattat
översätta översätter översatte översatt
övertala övertalar övertalade övertalat
